"","1","2"
"d.especific",0.54725168756027,0.924528301886792
"d.trazabilidad",0.496624879459981,0.910806174957118
"d.problemas",0.336065573770492,0.856775300171527
"d.mejoracont",0.145612343297975,0.791595197255575
"d.gesproydis",0.142719382835101,0.650943396226415
"dnorm.calidad",0.314368370298939,0.888507718696398
"d.rotacion",0.216007714561234,0.523156089193825
"part.personal",0.132754741240759,0.350485991995425
"depto.id",0.120057859209257,0.602915951972556
"prop.prof",0.0539877318178953,0.103218250659924
"prop.tec",0.060764125719264,0.124634129367108
"dcap.func",0.257473481195757,0.799313893653516
"capacit.jer",0.0656104146576664,0.444654631217838
"capacit.nojer",0.0957360655737705,0.513904202401372
"d.incent",0.187560270009643,0.713550600343053
"dvinc.firmas",0.232401157184185,0.562607204116638
"dvinc.pub",0.115236258437801,0.5926243567753
