"","cal_fit$results[2, ]"
"1 groups",NA
"2 groups",1019.28849826209
"3 groups",678.951847865133
"4 groups",539.424095473997
"5 groups",459.944745379411
"6 groups",401.706738284187
"7 groups",360.935779204513
"8 groups",330.636901758553
"9 groups",305.527698956122
"10 groups",285.094070230538
