"","V1","V2"
"K.cluster",1,2
"mean_dai",0.509643201542912,0.900514579759863
"mean_did",0.169720347155256,0.48885077186964
"mean_aiventas",1.46825235774973,3.12640178423257
"mean_idventas",0.210297062747927,0.629777242009893
"mean_innovo",0.344262295081967,0.730703259005146
